accuracy_dr,sensitivity_dr,specificity_dr,fpr_dr,fnr_dr,balanced_dr,auc_dr,tp_dr,tn_dr,fp_dr,fn_dr,accuracy_me,sensitivity_me,specificity_me,fpr_me,fnr_me,balanced_me,auc_me,tp_me,tn_me,fp_me,fn_me,binary_balanced,binary_sensitivity,binary_specificity,epoch,best_metric,best_metric_name,fold,resize,device,train_size,val_size,output_dir,log_dir,checkpoint_path
0.9041666666666667,0.8473282442748091,0.9724770642201835,0.027522935779816515,0.15267175572519084,0.9099026542474964,0.952447650395686,111,106,3,20,0.9541666666666667,0.918918918918919,0.9605911330049262,0.03940886699507389,0.08108108108108109,0.9397550259619225,0.9755025961922513,34,195,8,3,0.9248288401047094,0.8831235815968641,0.9665340986125548,17,0.9248288401047094,binary_balanced,0,False,cuda,960,240,checkpoints\binary_init_cv_resize_off\fold_0,runs\binary_init_cv_resize_off\fold_0,checkpoints\binary_init_cv_resize_off\fold_0\best_binary.pth
0.9375,0.9236641221374046,0.9541284403669725,0.045871559633027525,0.07633587786259542,0.9388962812521886,0.9556691645073184,121,104,5,10,0.9625,0.9791666666666666,0.9583333333333334,0.041666666666666664,0.020833333333333332,0.96875,0.9921875,47,184,8,1,0.9538231406260943,0.9514153944020356,0.956230886850153,24,0.9538231406260943,binary_balanced,1,False,cuda,960,240,checkpoints\binary_init_cv_resize_off\fold_1,runs\binary_init_cv_resize_off\fold_1,checkpoints\binary_init_cv_resize_off\fold_1\best_binary.pth
0.9208333333333333,0.9007633587786259,0.944954128440367,0.05504587155963303,0.09923664122137404,0.9228587436094964,0.9492261362840535,118,103,6,13,0.95,0.9545454545454546,0.9489795918367347,0.05102040816326531,0.045454545454545456,0.9517625231910947,0.9850417439703154,42,186,10,2,0.9373106334002955,0.9276544066620402,0.9469668601385508,26,0.9373106334002955,binary_balanced,2,False,cuda,960,240,checkpoints\binary_init_cv_resize_off\fold_2,runs\binary_init_cv_resize_off\fold_2,checkpoints\binary_init_cv_resize_off\fold_2\best_binary.pth
0.9125,0.8778625954198473,0.9541284403669725,0.045871559633027525,0.12213740458015267,0.9159955178934099,0.9408221864276209,115,104,5,16,0.9375,0.9215686274509803,0.9417989417989417,0.0582010582010582,0.0784313725490196,0.931683784624961,0.9716775599128541,47,178,11,4,0.9238396512591855,0.8997156114354139,0.9479636910829572,15,0.9238396512591855,binary_balanced,3,False,cuda,960,240,checkpoints\binary_init_cv_resize_off\fold_3,runs\binary_init_cv_resize_off\fold_3,checkpoints\binary_init_cv_resize_off\fold_3\best_binary.pth
0.9125,0.8923076923076924,0.9363636363636364,0.06363636363636363,0.1076923076923077,0.9143356643356644,0.9571328671328672,116,103,7,14,0.9458333333333333,0.9347826086956522,0.9484536082474226,0.05154639175257732,0.06521739130434782,0.9416181084715374,0.9585387718511879,43,184,10,3,0.9279768864036009,0.9135451505016723,0.9424086223055295,18,0.9279768864036009,binary_balanced,4,False,cuda,960,240,checkpoints\binary_init_cv_resize_off\fold_4,runs\binary_init_cv_resize_off\fold_4,checkpoints\binary_init_cv_resize_off\fold_4\best_binary.pth
